path,role,audit_issues
assets/cover_letter_es.png,Repository configuration or documentation,
assets/cover_letter_ja.png,Repository configuration or documentation,
assets/cover_letter_zh-CN.png,Repository configuration or documentation,
assets/creators_note.png,Repository configuration or documentation,
assets/favicon.ico,Repository configuration or documentation,
assets/features.png,Repository configuration or documentation,
assets/header.png,Repository configuration or documentation,
assets/how_to_contribute.png,Repository configuration or documentation,
assets/how_to_install_resumematcher.png,Repository configuration or documentation,
assets/installing_resume_matcher.png,Repository configuration or documentation,
assets/keyword_highlighter.png,Repository configuration or documentation,
assets/keyword_highlighter_ja.png,Repository configuration or documentation,
assets/keyword_highlighter_zh-CN.png,Repository configuration or documentation,
assets/logo.svg,Repository configuration or documentation,
assets/master_resume_view.png,Repository configuration or documentation,
assets/page_2.png,Repository configuration or documentation,
assets/pdf-templates/modern-single-column.jpg,Repository configuration or documentation,
assets/pdf-templates/modern-single-column.pdf,Repository configuration or documentation,
assets/pdf-templates/modern-two-column.jpg,Repository configuration or documentation,
assets/pdf-templates/modern-two-column.pdf,Repository configuration or documentation,
assets/pdf-templates/single-column.jpg,Repository configuration or documentation,
assets/pdf-templates/single-column.pdf,Repository configuration or documentation,
assets/pdf-templates/two-column.jpg,Repository configuration or documentation,
assets/pdf-templates/two-column.pdf,Repository configuration or documentation,
assets/resume_matcher_discord.png,Repository configuration or documentation,
assets/resume_matcher_features.png,Repository configuration or documentation,
assets/resume_matcher_linkedin.png,Repository configuration or documentation,
assets/sponsors.png,Repository configuration or documentation,
assets/star_resume_matcher.png,Repository configuration or documentation,
assets/step_1.png,Repository configuration or documentation,
assets/step_2.png,Repository configuration or documentation,
assets/step_2_zh-CN.png,Repository configuration or documentation,
assets/step_3.png,Repository configuration or documentation,
assets/step_5.png,Repository configuration or documentation,
assets/step_5_ja.png,Repository configuration or documentation,
assets/step_5_zh-CN.png,Repository configuration or documentation,
assets/supporting_resume_matcher.png,Repository configuration or documentation,
docker-compose.yml,Repository configuration or documentation,
docker/start.sh,Repository configuration or documentation,
docs/agent/README.md,Documentation,#948;#949;#950;#951;#973;#974
docs/agent/apis/api-flow-maps.md,Documentation,
docs/agent/apis/backend-requirements.md,Documentation,
docs/agent/apis/front-end-apis.md,Documentation,#938;#946;#948;#949;#950;#951;#952;#953;#954;#955;#956;#957;#958;#959;#963;#967;#968;#971
docs/agent/architecture/ai-operation-budgets.md,Documentation,#942;#973;#974
docs/agent/architecture/backend-architecture.md,Documentation,#973;#974
docs/agent/architecture/backend-guide.md,Documentation,#952;#953;#954;#973;#974
docs/agent/architecture/frontend-architecture.md,Documentation,
docs/agent/architecture/frontend-workflow.md,Documentation,#933;#934;#935;#936;#937;#938;#966;#967;#968;#973;#974
docs/agent/architecture/hosted-review-corrections.md,Documentation,#973;#974
docs/agent/architecture/hosted-review-dispositions.csv,Documentation,#973;#974
docs/agent/architecture/prompt-workflow-design.md,Documentation,
docs/agent/architecture/reliability-file-inventory.csv,Documentation,#973;#974
docs/agent/architecture/reliability-map.md,Documentation,#973;#974
docs/agent/architecture/storage-transactions.md,Documentation,#955;#956;#957;#958;#973;#974
docs/agent/coding-standards.md,Documentation,
docs/agent/design/pdf-template-guide.md,Documentation,#960;#961;#962;#973;#974
docs/agent/design/print-pdf-design-spec.md,Documentation,
docs/agent/design/resume-template-design-spec.md,Documentation,
docs/agent/design/template-system.md,Documentation,
docs/agent/design/templates/swiss-single-spec.md,Documentation,
docs/agent/design/templates/swiss-two-column-spec.md,Documentation,
docs/agent/features/adding-resume-templates.md,Documentation,
docs/agent/features/application-tracker.md,Documentation,
docs/agent/features/custom-sections.md,Documentation,
docs/agent/features/enrichment.md,Documentation,#973;#974
docs/agent/features/i18n-preparation.md,Documentation,
docs/agent/features/i18n.md,Documentation,
docs/agent/features/jd-match.md,Documentation,
docs/agent/features/preview-confirmation.md,Documentation,#948;#949;#950;#951;#973;#974
docs/agent/features/resume-templates.md,Documentation,
docs/agent/llm-integration.md,Documentation,#940;#941;#943;#944;#945;#947;#969;#970;#973;#974;#975
docs/agent/quickstart.md,Documentation,
docs/agent/scope-and-principles.md,Documentation,
docs/agent/testing-strategy.md,Documentation,#973;#974
docs/agent/workflow.md,Documentation,#939;#964;#965;#973;#974
docs/portable/README.md,Documentation,
docs/portable/nextjs-performance/01-waterfalls.md,Documentation,
docs/portable/nextjs-performance/02-bundle-size.md,Documentation,
docs/portable/nextjs-performance/03-server-actions-security.md,Documentation,
docs/portable/nextjs-performance/04-server-side-perf.md,Documentation,
docs/portable/nextjs-performance/README.md,Documentation,
docs/portable/nextjs-performance/checklist.md,Documentation,
docs/portable/swiss-design-system/README.md,Documentation,
docs/portable/swiss-design-system/ai-prompt.md,Documentation,
docs/portable/swiss-design-system/anti-patterns.md,Documentation,
docs/portable/swiss-design-system/components.md,Documentation,
docs/portable/swiss-design-system/layouts.md,Documentation,
docs/portable/swiss-design-system/tokens.md,Documentation,
docs/superpowers/plans/2026-03-23-diff-based-improvement.md,Documentation,
docs/superpowers/plans/2026-04-17-dev-issues-754-751-749.md,Documentation,
docs/superpowers/plans/2026-04-17-litellm-reasoning-hardening.md,Documentation,
docs/superpowers/plans/2026-05-06-resume-tailor-verifier-loop.md,Documentation,
docs/superpowers/plans/2026-06-01-agentic-e2e-monitor.md,Documentation,
docs/superpowers/plans/2026-06-03-resume-templates-latex-clean-vivid.md,Documentation,
docs/superpowers/plans/2026-06-04-resume-wizard-redesign.md,Documentation,
docs/superpowers/specs/2026-03-23-diff-based-improvement-design.md,Documentation,
docs/superpowers/specs/2026-04-10-health-check-fix-design.md,Documentation,
docs/superpowers/specs/2026-04-17-custom-feature-prompts-design.md,Documentation,
docs/superpowers/specs/2026-04-17-litellm-reasoning-hardening-design.md,Documentation,
docs/superpowers/specs/2026-04-17-openai-compatible-provider-design.md,Documentation,
docs/superpowers/specs/2026-04-17-settings-error-overflow-design.md,Documentation,
docs/superpowers/specs/2026-06-01-agentic-e2e-monitor-design.md,Documentation,
docs/superpowers/specs/2026-06-03-resume-templates-latex-clean-vivid-design.md,Documentation,
docs/superpowers/specs/2026-06-04-resume-wizard-design.md,Documentation,
docs/superpowers/specs/2026-06-04-resume-wizard-redesign-design.md,Documentation,
scripts/check_locale_parity.py,Repository configuration or documentation,
